rxn	MGYG000000076	MGYG000005177	MGYG000049266	MGYG000073722	MGYG000082523	MGYG000111157	MGYG000142005	MGYG000164457	MGYG000167059	MGYG000241626	MGYG000258880	MGYG000278633
rxn00710_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00711_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00712_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00713_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00715_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00720_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00726_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00727_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00735_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00736_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00737_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00742_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00743_c0	0	0	0	0	0	0	0	1	0	0	0	0
rxn00747_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00751_c0	1	0	0	0	1	0	0	0	0	0	0	0
rxn00762_c0	0	0	0	0	0	0	0	1	0	0	0	0
rxn00763_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00765_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00770_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00777_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00778_c0	1	1	1	1	1	1	1	1	1	1	1	1
